RevenueID,Date,DepartmentID,RevenueAmount,RevenueSource
REV0001,2023-01-01,D001,61380543,Product Sales
REV0002,2023-01-01,D002,13095570,Marketing Services
REV0003,2023-01-01,D003,6023468,Financial Services
REV0004,2023-01-01,D004,999241,Internal Services
REV0005,2023-01-01,D005,34483582,Operations Revenue
REV0006,2023-01-01,D006,7411040,Technology Services
REV0007,2023-01-01,D007,5013005,Customer Services
REV0008,2023-01-01,D008,3722466,Research Contracts
REV0009,2023-02-01,D001,68981428,Product Sales
REV0010,2023-02-01,D002,17628519,Marketing Services
REV0011,2023-02-01,D003,9472471,Financial Services
REV0012,2023-02-01,D004,1041090,Internal Services
REV0013,2023-02-01,D005,32404852,Operations Revenue
REV0014,2023-02-01,D006,10981505,Technology Services
REV0015,2023-02-01,D007,5766891,Customer Services
REV0016,2023-02-01,D008,7521373,Research Contracts
REV0017,2023-03-01,D001,51019877,Product Sales
REV0018,2023-03-01,D002,11344769,Marketing Services
REV0019,2023-03-01,D003,5791743,Financial Services
REV0020,2023-03-01,D004,1103355,Internal Services
REV0021,2023-03-01,D005,40964436,Operations Revenue
REV0022,2023-03-01,D006,7262752,Technology Services
REV0023,2023-03-01,D007,5396025,Customer Services
REV0024,2023-03-01,D008,4307371,Research Contracts
REV0025,2023-04-01,D001,54305648,Product Sales
REV0026,2023-04-01,D002,13743066,Marketing Services
REV0027,2023-04-01,D003,7253882,Financial Services
REV0028,2023-04-01,D004,2919486,Internal Services
REV0029,2023-04-01,D005,38237723,Operations Revenue
REV0030,2023-04-01,D006,10721339,Technology Services
REV0031,2023-04-01,D007,8842447,Customer Services
REV0032,2023-04-01,D008,4500942,Research Contracts
REV0033,2023-05-01,D001,57648637,Product Sales
REV0034,2023-05-01,D002,11275709,Marketing Services
REV0035,2023-05-01,D003,5084654,Financial Services
REV0036,2023-05-01,D004,1953277,Internal Services
REV0037,2023-05-01,D005,43731570,Operations Revenue
REV0038,2023-05-01,D006,8416182,Technology Services
REV0039,2023-05-01,D007,7474675,Customer Services
REV0040,2023-05-01,D008,5652991,Research Contracts
REV0041,2023-06-01,D001,52171226,Product Sales
REV0042,2023-06-01,D002,18608464,Marketing Services
REV0043,2023-06-01,D003,8429350,Financial Services
REV0044,2023-06-01,D004,1638441,Internal Services
REV0045,2023-06-01,D005,39554915,Operations Revenue
REV0046,2023-06-01,D006,10358330,Technology Services
REV0047,2023-06-01,D007,8124224,Customer Services
REV0048,2023-06-01,D008,7023892,Research Contracts
REV0049,2023-07-01,D001,60933681,Product Sales
REV0050,2023-07-01,D002,9465689,Marketing Services
REV0051,2023-07-01,D003,5068148,Financial Services
REV0052,2023-07-01,D004,2825665,Internal Services
REV0053,2023-07-01,D005,44522899,Operations Revenue
REV0054,2023-07-01,D006,9397723,Technology Services
REV0055,2023-07-01,D007,7003758,Customer Services
REV0056,2023-07-01,D008,7056518,Research Contracts
REV0057,2023-08-01,D001,47669995,Product Sales
REV0058,2023-08-01,D002,12997895,Marketing Services
REV0059,2023-08-01,D003,9798669,Financial Services
REV0060,2023-08-01,D004,2870928,Internal Services
REV0061,2023-08-01,D005,29155299,Operations Revenue
REV0062,2023-08-01,D006,8557489,Technology Services
REV0063,2023-08-01,D007,5773415,Customer Services
REV0064,2023-08-01,D008,5305413,Research Contracts
REV0065,2023-09-01,D001,72256154,Product Sales
REV0066,2023-09-01,D002,14913820,Marketing Services
REV0067,2023-09-01,D003,5799019,Financial Services
REV0068,2023-09-01,D004,2736305,Internal Services
REV0069,2023-09-01,D005,35509505,Operations Revenue
REV0070,2023-09-01,D006,9129378,Technology Services
REV0071,2023-09-01,D007,4616445,Customer Services
REV0072,2023-09-01,D008,6224355,Research Contracts
REV0073,2023-10-01,D001,63048957,Product Sales
