OrderDetailID,SaleID,ProductID,Quantity,UnitPrice,Discount,LineTotal
1,1,215,1,1767.95,16.38,1751.57
2,2,25,3,2574.99,237.06,7487.91
3,2,210,5,9851.45,402.88,48854.37
4,2,50,5,1860.42,97.9,9204.2
5,2,48,2,1134.3,32.8,2235.8
6,3,126,5,2938.73,184.8,14508.85
7,4,129,2,6140.55,466.87,11814.23
8,4,163,3,4794.81,452.51,13931.92
9,4,23,2,176.75,482.32,-128.82
10,4,87,3,4961.42,109.1,14775.16
11,4,40,4,3257.4,62.87,12966.73
12,5,237,3,7031.49,150.28,20944.19
13,5,90,5,988.59,449.88,4493.07
14,5,14,3,9849.71,15.86,29533.27
15,5,17,5,4546.69,371.36,22362.09
16,6,114,3,2398.69,259.95,6936.12
17,7,80,4,6395.8,158.24,25424.96
18,7,3,2,461.87,496.46,427.28
19,7,284,2,5745.39,265.35,11225.43
20,8,37,4,2206.12,135.79,8688.69
21,8,21,4,1078.17,360.57,3952.11
22,8,176,3,2985.02,101.99,8853.07
23,8,168,1,595.25,14.4,580.85
24,8,250,4,2685.84,75.67,10667.69
25,9,154,4,8741.89,18.77,34948.79
26,9,235,2,1728.11,11.51,3444.71
27,9,230,5,7282.52,441.73,35970.87
28,9,228,4,4214.84,368.88,16490.48
29,10,45,5,7487.87,273.37,37165.98
30,10,260,5,7662.36,53.76,38258.04
31,10,281,5,2776.33,234.78,13646.87
32,11,29,4,8522.08,100.61,33987.71
33,11,98,4,4839.78,157.85,19201.27
34,11,106,3,946.95,285.06,2555.79
35,11,294,3,6987.16,3.33,20958.15
36,12,85,4,1595.74,462.95,5920.01
37,13,67,3,2232.88,286.19,6412.45
38,13,262,2,8522.44,0.14,17044.74
39,13,255,5,3540.71,460.73,17242.82
40,14,76,1,8432.14,276.32,8155.82
41,14,185,3,2026.7,169.27,5910.83
42,15,179,4,1661.22,199.13,6445.75
43,16,107,2,1799.21,130.79,3467.63
44,16,206,1,5610.91,269.17,5341.74
45,16,290,4,2916.26,54.89,11610.15
46,16,235,3,5190.05,232.9,15337.25
47,17,186,3,1384.14,225.97,3926.45
48,18,161,3,7540.23,46.13,22574.56
49,18,158,4,4117.11,396.73,16071.71
50,18,254,4,7914.02,402.63,31253.45
51,18,122,4,4207.65,461.85,16368.75
52,18,208,1,3095.51,352.15,2743.36
53,19,256,2,3998.94,297.35,7700.53
54,20,241,3,4953.04,452.97,14406.15
55,20,260,1,570.98,262.66,308.32
56,21,245,1,448.18,134.47,313.71
57,21,198,2,3280.19,286.2,6274.18
58,21,297,4,7217.83,450.92,28420.4
59,21,176,5,4962.66,97.63,24715.67
60,22,92,1,2952.19,220.32,2731.87
61,22,179,5,2735.68,103.93,13574.47
62,22,173,4,9670.68,440.43,38242.29
63,22,247,5,425.83,490.75,1638.4
64,22,200,5,6654.74,145.61,33128.09
65,23,64,3,457.26,409.79,961.99
66,24,199,2,6671.04,394.26,12947.82
67,24,162,3,4853.9,15.37,14546.33
68,25,293,1,1578.26,481.56,1096.7
69,25,134,5,9351.77,169.66,46589.19
70,25,181,5,9876.24,191.48,49189.72
71,26,253,1,5550.77,101.79,5448.98
72,27,125,5,1321.31,53.77,6552.78
73,27,75,5,9486.5,163.65,47268.85
74,27,90,1,5091.25,53.04,5038.21
75,27,207,4,2142.12,468.81,8099.67
76,27,145,4,9498.28,279.89,37713.23
77,28,44,2,1972.04,456.94,3487.14
78,28,282,2,7866.84,235.52,15498.16
79,28,263,3,8766.75,179.33,26120.92
80,29,117,3,8714.58,442.81,25700.93
81,29,291,1,4970.29,452.96,4517.33
82,29,67,5,1006.36,150.68,4881.12
83,29,229,2,1823.84,250.57,3397.11
84,29,251,4,6121.38,390.56,24094.96
85,30,298,2,5901.13,370.12,11432.14
86,30,245,4,3096.38,266.09,12119.43
87,31,40,1,6587.67,466.63,6121.04
88,31,76,1,3700.11,90.08,3610.03
89,31,293,3,8073.7,261.49,23959.61
90,31,136,1,6754.64,142.36,6612.28
91,31,189,5,4491.91,356.84,22102.71
92,32,194,1,7042.63,362.62,6680.01
93,33,22,4,6939.47,188.92,27568.96
94,33,247,4,8463.9,294.49,33561.11
95,33,165,5,9818.42,382.0,48710.1
96,33,227,5,1510.08,175.45,7374.95
97,34,91,5,995.17,71.38,4904.47
98,34,146,4,6883.23,302.87,27230.05
99,34,86,2,1734.54,489.93,2979.15
100,35,288,5,164.53,88.02,734.63
101,36,150,4,800.09,347.72,2852.64
102,36,23,4,1963.7,77.59,7777.21
103,36,227,2,6368.52,483.1,12253.94
104,36,78,2,5839.19,383.88,11294.5
105,37,253,4,6906.57,69.81,27556.47
106,37,69,4,7629.97,58.52,30461.36
107,37,130,2,8546.62,163.26,16929.98
108,38,109,4,5948.53,390.32,23403.8
109,39,277,3,7852.69,343.11,23214.96
110,39,61,3,8064.3,424.7,23768.2
111,39,280,4,5973.96,21.62,23874.22
112,39,219,2,8899.99,474.94,17325.04
113,39,223,2,9756.26,286.64,19225.88
114,40,175,4,2352.17,429.4,8979.28
115,40,117,1,4158.21,331.39,3826.82
116,40,164,1,4430.35,20.02,4410.33
117,40,145,1,9069.25,84.16,8985.09
118,40,58,4,8135.1,457.39,32083.01
119,41,227,4,1444.61,196.28,5582.16
120,41,120,3,248.29,353.9,390.97
121,42,228,5,8582.56,75.67,42837.13
122,42,59,2,176.53,7.14,345.92
123,42,32,1,1624.67,492.12,1132.55
124,42,66,2,7489.39,264.96,14713.82
125,42,187,5,4621.8,0.6,23108.4
126,43,75,4,7535.72,22.4,30120.48
127,43,168,4,7486.23,289.95,29654.97
128,43,223,3,5296.71,178.63,15711.5
129,43,248,1,565.92,280.78,285.14
130,43,44,3,404.55,229.47,984.18
131,44,47,3,5894.32,389.63,17293.33
132,44,226,4,2547.52,266.11,9923.97
133,44,300,1,4210.32,86.88,4123.44
134,45,91,1,382.59,405.63,-23.04
135,46,180,4,464.77,222.2,1636.88
136,46,161,1,4801.8,341.15,4460.65
137,46,130,5,2715.07,369.94,13205.41
138,46,283,3,6931.76,296.93,20498.35
139,47,179,4,6656.04,429.95,26194.21
140,47,150,2,4058.1,7.09,8109.11
141,47,127,5,7657.85,27.99,38261.26
142,47,265,3,7344.42,11.27,22021.99
143,47,65,1,7871.31,443.98,7427.33
144,48,79,1,3912.51,122.73,3789.78
145,48,64,5,3481.15,253.4,17152.35
146,48,216,2,6683.82,481.06,12886.58
147,48,279,3,4450.6,320.67,13031.13
148,48,195,4,6937.45,336.5,27413.3
149,49,45,3,7326.45,481.68,21497.67
150,49,152,5,8373.79,190.56,41678.39
151,50,225,4,4056.38,1.9,16223.62
152,51,208,3,9597.89,312.73,28480.94
153,51,139,2,1830.65,476.63,3184.67
154,52,168,3,2589.7,222.55,7546.55
155,52,58,5,366.33,65.68,1765.97
156,53,56,2,6263.23,243.08,12283.38
157,53,79,4,8282.86,272.78,32858.66
158,53,2,3,8082.62,304.92,23942.94
159,53,31,1,4636.53,285.11,4351.42
160,53,176,1,2342.1,353.73,1988.37
161,54,243,5,2440.47,181.5,12020.85
162,55,63,1,9958.14,25.13,9933.01
163,55,193,3,1765.7,51.96,5245.14
164,56,57,5,226.66,42.93,1090.37
165,56,132,3,6767.73,128.26,20174.93
166,57,273,2,4267.15,346.46,8187.84
167,58,162,2,8380.43,424.71,16336.15
168,59,141,4,1967.06,393.22,7475.02
169,59,299,2,1719.22,246.97,3191.47
170,60,273,1,7994.84,319.82,7675.02
171,60,64,2,3319.97,206.74,6433.2
172,60,275,2,5242.07,69.06,10415.08
173,61,277,3,3186.77,108.03,9452.28
174,61,35,5,3423.91,436.99,16682.56
175,61,88,2,1170.03,253.99,2086.07
176,61,67,2,4479.89,366.54,8593.24
177,61,86,4,2482.62,362.78,9567.7
178,62,7,2,577.03,247.36,906.7
179,62,59,3,3520.65,155.17,10406.78
180,62,86,5,2635.24,453.37,12722.83
181,62,66,1,3178.19,157.41,3020.78
182,63,50,2,8900.25,14.11,17786.39
183,63,175,1,6301.39,373.53,5927.86
184,63,204,5,8361.68,59.79,41748.61
185,63,272,2,7387.37,484.01,14290.73
186,63,132,5,3252.02,28.27,16231.83
187,64,231,3,5406.55,378.07,15841.58
188,64,53,2,850.15,80.36,1619.94
189,64,228,1,5580.19,392.74,5187.45
190,65,21,3,5805.83,156.61,17260.88
191,66,265,2,3979.22,429.27,7529.17
192,67,35,3,1149.45,82.66,3365.69
193,67,83,3,1388.56,133.9,4031.78
194,67,142,5,7476.05,281.43,37098.82
195,67,178,1,1738.46,174.43,1564.03
196,68,115,1,2497.44,486.48,2010.96
197,68,87,1,8994.71,21.41,8973.3
198,68,152,3,3869.54,160.67,11447.95
199,68,229,4,6651.05,62.26,26541.94
200,69,219,1,2759.44,470.18,2289.26
201,69,39,2,1830.11,248.66,3411.56
202,69,21,5,2966.77,164.95,14668.9
203,70,299,4,866.09,237.56,3226.8
204,71,10,2,3029.33,60.84,5997.82
205,71,51,4,4198.16,40.48,16752.16
206,72,267,1,5819.19,139.29,5679.9
207,72,286,2,2875.62,285.41,5465.83
208,72,243,3,5639.18,306.61,16610.93
209,73,266,2,3646.89,370.19,6923.59
210,73,28,4,4993.3,259.69,19713.51
211,73,199,5,9046.64,198.61,45034.59
212,74,185,3,4011.77,306.07,11729.24
213,75,11,2,9858.32,417.63,19299.01
214,76,143,1,7710.9,395.67,7315.23
215,76,229,4,7044.55,146.01,28032.19
216,76,68,5,5506.16,159.94,27370.86
217,76,242,2,145.2,71.53,218.87
218,76,150,2,6439.34,435.79,12442.89
219,77,45,5,4906.24,375.75,24155.45
220,77,207,2,6467.12,393.22,12541.02
221,78,212,3,3292.1,132.93,9743.37
222,78,274,5,8083.89,95.62,40323.83
223,78,57,3,3245.01,37.87,9697.16
224,78,162,1,9556.52,89.32,9467.2
225,79,163,2,2092.24,45.56,4138.92
226,79,38,3,4161.7,468.11,12016.99
227,80,58,1,593.59,316.84,276.75
228,80,154,5,8465.91,333.71,41995.84
229,80,67,3,4797.56,339.78,14052.9
230,80,12,5,1429.64,128.54,7019.66
231,80,270,5,6090.15,124.13,30326.62
232,81,46,3,5922.52,8.45,17759.11
233,81,65,3,8941.97,359.52,26466.39
234,81,6,2,3326.16,273.18,6379.14
235,81,294,4,7616.59,493.2,29973.16
236,82,265,5,2033.83,155.32,10013.83
237,83,166,4,4792.66,204.1,18966.54
238,83,94,5,454.2,33.01,2237.99
239,83,117,2,2290.2,373.51,4206.89
240,84,53,4,1026.42,244.4,3861.28
241,84,298,2,1543.32,127.87,2958.77
242,84,229,5,3245.47,79.6,16147.75
243,84,40,2,4529.67,357.69,8701.65
244,85,221,4,317.49,230.04,1039.92
245,85,198,1,4641.15,378.72,4262.43
246,86,178,3,7093.96,414.04,20867.84
247,86,41,2,2809.44,494.57,5124.31
248,87,185,3,3869.99,285.71,11324.26
249,87,64,1,2734.37,195.74,2538.63
250,87,106,2,7626.24,428.56,14823.92
251,87,104,1,6742.86,436.65,6306.21
252,88,49,4,8925.25,103.81,35597.19
253,88,254,2,5571.85,287.65,10856.05
254,89,59,2,3288.26,268.19,6308.33
255,90,29,2,4027.1,182.81,7871.39
256,91,4,1,6079.91,71.29,6008.62
257,91,61,3,7518.96,292.33,22264.55
258,91,139,1,1834.39,117.6,1716.79
259,91,178,5,2382.61,321.5,11591.55
260,92,13,1,6528.1,166.13,6361.97
261,92,137,4,1520.31,35.11,6046.13
262,92,202,5,642.17,336.38,2874.47
263,92,87,4,4723.28,9.01,18884.11
264,93,241,2,3268.63,273.61,6263.65
265,93,49,4,300.37,415.66,785.82
266,93,112,2,6935.98,473.07,13398.89
267,93,210,4,3577.51,327.97,13982.07
268,94,106,1,7435.92,301.25,7134.67
269,94,155,5,3266.78,110.25,16223.65
270,95,202,2,5601.81,51.34,11152.28
271,95,219,4,2969.14,104.78,11771.78
272,95,25,5,8493.29,387.1,42079.35
273,95,89,3,4973.77,160.43,14760.88
274,96,280,1,5989.08,440.66,5548.42
275,96,158,5,3162.25,296.84,15514.41
276,96,48,1,4740.75,113.79,4626.96
277,97,194,1,4716.24,137.42,4578.82
278,97,170,5,7778.51,402.61,38489.94
279,97,105,5,5236.42,331.76,25850.34
280,97,242,3,8501.82,196.15,25309.31
281,97,214,3,3186.96,415.78,9145.1
282,98,251,3,8934.43,21.67,26781.62
283,98,84,4,8187.08,68.34,32679.98
284,99,231,2,3519.0,227.32,6810.68
285,99,168,5,7126.39,395.83,35236.12
286,99,182,1,915.83,423.83,492.0
287,99,206,1,7944.2,469.93,7474.27
288,100,160,3,6200.42,174.75,18426.51
289,100,41,5,6247.43,197.27,31039.88
290,100,264,5,5401.63,367.3,26640.85
291,100,168,4,6836.34,20.2,27325.16
292,100,174,5,1431.61,308.28,6849.77
293,101,135,5,6362.19,491.33,31319.62
294,101,34,1,9283.92,7.82,9276.1
295,101,164,3,4102.6,286.07,12021.73
296,101,257,4,8882.08,144.5,35383.82
297,102,47,4,2366.75,251.16,9215.84
298,102,155,2,325.85,440.8,210.9
299,102,189,2,4831.31,324.94,9337.68
300,103,116,4,2691.33,85.19,10680.13
301,103,250,3,5317.48,346.49,15605.95
302,103,240,1,9803.88,56.02,9747.86
303,103,177,1,4313.23,394.78,3918.45
304,104,147,2,9439.47,72.36,18806.58
305,105,288,1,728.91,257.6,471.31
306,105,74,5,3081.03,69.68,15335.47
307,105,185,1,3475.15,75.46,3399.69
308,105,217,3,4272.89,499.01,12319.66
309,106,259,2,9826.84,6.37,19647.31
310,106,200,5,8295.3,371.05,41105.45
311,106,257,4,1445.54,285.47,5496.69
312,106,188,1,8768.83,457.65,8311.18
313,107,241,1,5689.69,234.27,5455.42
314,107,90,1,766.25,312.85,453.4
315,107,224,2,140.61,180.32,100.9
316,107,288,1,6453.32,392.74,6060.58
317,107,265,2,1118.46,432.82,1804.1
318,108,78,5,3680.65,338.27,18064.98
319,108,253,1,462.08,358.22,103.86
320,108,41,3,8857.87,44.76,26528.85
321,109,116,4,4326.26,318.86,16986.18
322,109,139,1,4154.45,359.43,3795.02
323,110,300,1,8645.18,3.2,8641.98
324,111,154,5,4984.29,228.0,24693.45
325,111,88,4,1750.09,68.93,6931.43
326,111,215,1,4828.24,472.48,4355.76
327,112,204,2,9539.42,327.29,18751.55
328,112,151,1,6181.46,187.91,5993.55
329,113,136,2,5991.03,445.17,11536.89
330,113,153,3,6704.57,436.94,19676.77
331,113,229,2,387.39,462.28,312.5
332,113,158,5,3876.16,328.0,19052.8
333,113,160,1,9879.41,139.16,9740.25
334,114,47,4,9462.63,41.62,37808.9
335,114,79,2,1402.87,140.21,2665.53
336,114,110,4,6461.92,298.89,25548.79
337,115,205,5,1952.74,50.29,9713.41
338,116,46,3,8478.77,321.1,25115.21
339,116,5,2,1736.28,337.81,3134.75
340,116,210,1,3326.53,223.91,3102.62
341,116,153,3,7407.57,296.51,21926.2
342,117,28,1,5129.86,484.06,4645.8
343,118,295,2,4670.52,4.43,9336.61
344,119,207,4,9074.19,319.72,35977.04
345,119,289,3,3651.15,222.78,10730.67
346,119,5,5,4252.77,343.49,20920.36
347,119,190,4,1990.85,155.08,7808.32
348,120,190,1,8734.07,352.69,8381.38
349,120,105,4,6926.92,406.65,27301.03
350,120,74,5,2926.16,471.65,14159.15
351,120,227,4,4920.23,189.59,19491.33
352,121,121,5,3813.83,355.9,18713.25
353,121,5,4,8019.72,231.73,31847.15
354,121,138,5,5260.61,264.76,26038.29
355,122,123,4,5736.38,390.39,22555.13
356,122,138,5,5641.13,283.33,27922.32
357,122,31,4,7282.95,492.97,28638.83
358,123,46,3,4687.89,293.18,13770.49
359,124,221,2,1862.76,136.73,3588.79
360,124,46,1,1935.69,159.37,1776.32
361,124,134,1,2328.46,406.73,1921.73
362,125,6,1,7978.1,166.2,7811.9
363,126,163,2,1586.97,21.25,3152.69
364,127,263,5,7953.13,490.12,39275.53
365,127,185,5,4883.13,267.05,24148.6
366,127,247,3,5989.44,123.5,17844.82
367,128,94,3,8785.64,393.6,25963.32
368,128,264,5,9457.69,315.52,46972.93
369,128,245,2,9826.75,286.45,19367.05
370,129,69,2,7591.31,25.14,15157.48
371,130,112,4,8027.42,412.14,31697.54
372,130,298,1,605.42,161.0,444.42
373,130,293,3,2386.9,251.96,6908.74
374,130,8,2,9052.17,164.34,17940.0
375,130,71,2,8225.53,446.1,16004.96
376,131,260,5,6726.5,237.75,33394.75
377,131,216,4,3332.42,144.58,13185.1
378,131,135,3,430.17,396.96,893.55
379,132,270,1,8790.38,121.69,8668.69
380,133,18,2,6239.97,279.61,12200.33
381,133,258,3,4810.73,431.35,14000.84
382,133,45,2,4679.12,160.23,9198.01
383,133,47,3,5910.0,191.08,17538.92
384,133,203,3,6877.93,62.63,20571.16
385,134,296,5,5501.94,129.44,27380.26
386,134,201,3,5957.56,463.07,17409.61
387,134,193,5,1686.81,342.68,8091.37
388,135,86,2,8538.81,321.78,16755.84
389,135,138,1,4758.44,280.66,4477.78
390,135,45,3,8200.86,95.65,24506.93
391,135,80,2,1176.17,419.73,1932.61
392,136,68,3,2693.34,324.59,7755.43
393,136,47,1,6855.38,455.23,6400.15
394,136,33,1,2296.33,241.9,2054.43
395,136,28,1,1543.3,233.17,1310.13
396,136,115,4,2778.36,186.15,10927.29
397,137,90,4,4067.33,360.07,15909.25
398,137,155,5,4187.47,324.4,20612.95
399,137,172,1,8843.65,82.82,8760.83
400,137,30,1,9631.55,218.62,9412.93
401,137,130,5,831.42,114.98,4042.12
402,138,195,5,4557.61,35.24,22752.81
403,138,106,2,1844.06,282.38,3405.74
404,139,60,2,8700.56,498.85,16902.27
405,140,14,2,4534.74,70.42,8999.06
406,140,36,5,9266.17,70.69,46260.16
407,140,192,3,601.23,478.04,1325.65
408,140,243,5,3880.43,301.4,19100.75
409,141,247,4,6053.05,157.54,24054.66
410,141,54,2,893.36,406.73,1379.99
411,142,244,3,8762.89,340.72,25947.95
412,142,255,2,7907.86,52.36,15763.36
413,142,264,1,5063.0,90.11,4972.89
414,142,42,1,1963.48,50.78,1912.7
415,142,187,4,986.5,113.55,3832.45
416,143,220,3,6814.77,371.98,20072.33
417,143,269,5,5674.07,124.07,28246.28
418,143,134,4,1939.83,109.73,7649.59
419,144,240,2,7523.96,147.63,14900.29
420,145,187,3,3287.16,115.83,9745.65
421,145,63,3,838.61,355.76,2160.07
422,146,219,5,6412.15,242.53,31818.22
423,146,209,1,5629.66,431.42,5198.24
424,146,86,4,8651.16,468.65,34135.99
425,146,215,2,1793.84,147.19,3440.49
426,146,71,2,8731.41,288.09,17174.73
427,147,101,3,5787.09,481.21,16880.06
428,147,146,4,3056.44,93.51,12132.25
429,148,77,5,491.72,152.19,2306.41
430,148,144,2,3310.02,24.4,6595.64
431,149,39,3,6356.89,120.29,18950.38
432,149,204,1,7300.17,120.5,7179.67
433,149,113,4,537.43,396.38,1753.34
434,149,45,1,7961.0,247.9,7713.1
435,149,93,5,5434.98,89.63,27085.27
436,150,292,2,8275.39,482.39,16068.39
437,150,91,1,7848.11,128.06,7720.05
438,151,293,4,1472.72,240.47,5650.41
439,151,257,3,7293.87,275.48,21606.13
440,151,120,5,5113.91,208.46,25361.09
441,151,104,2,754.73,89.75,1419.71
442,151,241,3,5887.91,388.32,17275.41
443,152,245,3,5811.23,234.92,17198.77
444,153,41,5,4371.69,370.24,21488.21
445,153,116,2,3897.46,496.26,7298.66
446,153,84,5,3805.21,233.14,18792.91
447,154,253,3,7787.25,131.59,23230.16
448,154,164,4,7704.83,277.9,30541.42
449,154,281,5,3440.1,87.32,17113.18
450,154,75,3,6835.5,370.34,20136.16
451,155,197,3,8775.55,434.41,25892.24
452,156,283,2,8048.61,168.54,15928.68
453,156,41,5,4429.65,172.48,21975.77
454,156,162,5,9267.09,307.58,46027.87
455,157,236,4,3210.96,461.6,12382.24
456,157,155,4,7712.37,267.89,30581.59
457,157,40,3,8453.66,119.63,25241.35
458,158,98,1,3886.45,6.72,3879.73
459,158,62,3,7685.98,463.49,22594.45
460,158,45,3,249.63,37.63,711.26
461,158,192,1,107.15,414.91,-307.76
462,158,132,2,9014.05,272.57,17755.53
463,159,277,4,6450.1,232.59,25567.81
464,160,24,4,6891.2,477.28,27087.52
465,160,198,2,4676.67,256.92,9096.42
466,161,173,2,6397.8,406.76,12388.84
467,161,176,3,2583.17,314.57,7434.94
468,161,10,3,9028.74,306.29,26779.93
469,161,4,1,4742.31,444.77,4297.54
470,161,232,5,7620.6,343.74,37759.26
471,162,15,1,1286.81,481.31,805.5
472,162,218,1,4080.67,325.04,3755.63
473,162,113,3,5471.8,156.79,16258.61
474,162,78,5,4676.82,379.02,23005.08
475,163,157,5,483.99,55.18,2364.77
476,163,174,4,1356.9,483.22,4944.38
477,163,13,1,9608.19,184.96,9423.23
478,164,47,3,4759.31,475.2,13802.73
479,164,294,4,4387.07,121.39,17426.89
480,165,227,4,3437.02,74.55,13673.53
481,165,211,1,2920.62,372.63,2547.99
482,166,177,2,4134.65,125.34,8143.96
483,166,298,3,8719.11,450.29,25707.04
484,166,281,5,2657.0,205.53,13079.47
485,166,81,1,6173.8,225.63,5948.17
486,167,99,1,9462.33,316.7,9145.63
487,167,69,4,1013.95,65.05,3990.75
488,167,153,3,9925.2,242.08,29533.52
489,167,255,3,4752.75,39.32,14218.93
490,168,182,2,8471.45,279.85,16663.05
491,168,51,1,9017.18,197.39,8819.79
492,168,108,2,4819.82,380.77,9258.87
493,168,75,1,2823.57,457.97,2365.6
494,168,186,2,1620.78,157.36,3084.2
495,169,144,5,600.15,206.13,2794.62
496,169,99,2,8051.05,126.43,15975.67
497,169,287,4,7270.3,407.99,28673.21
498,170,41,3,3476.91,202.65,10228.08
499,171,149,1,305.26,482.1,-176.84
500,171,299,2,1918.04,304.32,3531.76
501,171,11,5,2726.54,260.88,13371.82
502,172,110,1,3084.45,419.67,2664.78
503,172,1,3,3075.94,490.89,8736.93
504,172,207,3,3281.81,129.07,9716.36
505,172,59,3,2604.93,418.08,7396.71
506,172,298,3,6991.82,251.09,20724.37
507,173,162,2,254.29,375.22,133.36
508,173,164,3,1288.81,220.88,3645.55
509,173,257,1,7595.91,147.53,7448.38
510,173,29,1,5941.58,321.87,5619.71
