SaleID,CustomerID,EmployeeID,StoreID,SaleDate,PaymentMethod,TotalAmount,TransactionStatus
1,388,7,5,2024-06-21,Online,28199.6,Completed
2,449,10,1,2025-06-10,Cash,45739.37,Cancelled
3,65,23,1,2023-08-04,Card,13832.61,Completed
4,185,21,6,2023-09-15,Card,19373.31,Pending
5,322,23,8,2025-02-28,Online,16345.21,Pending
6,216,19,6,2025-02-12,Online,8143.69,Completed
7,39,29,4,2024-06-13,POS,37482.85,Pending
8,439,3,1,2024-03-24,Transfer,6185.92,Cancelled
9,64,8,2,2025-09-24,POS,48438.33,Cancelled
10,97,12,10,2023-08-08,Transfer,26981.95,Completed
11,452,27,7,2025-02-05,POS,35065.91,Completed
12,337,2,6,2025-08-14,Transfer,40858.69,Cancelled
13,205,1,10,2024-02-13,POS,42920.68,Cancelled
14,62,26,1,2025-05-20,POS,28017.22,Cancelled
15,452,27,1,2023-11-24,POS,44788.75,Cancelled
16,134,12,1,2025-08-05,Card,48310.87,Pending
17,107,1,7,2023-12-09,POS,39289.69,Pending
18,203,25,5,2023-04-24,POS,14853.13,Cancelled
19,48,12,8,2024-08-01,Transfer,26696.37,Cancelled
20,448,23,9,2023-04-25,Transfer,22245.7,Cancelled
21,172,28,2,2024-12-19,Transfer,24171.88,Cancelled
22,131,25,10,2024-06-05,Online,1435.45,Completed
23,477,9,10,2025-03-01,POS,18796.36,Completed
24,67,29,3,2024-06-25,POS,34718.91,Completed
25,419,23,4,2024-10-06,Online,33404.27,Pending
26,236,8,4,2023-04-25,Online,6987.96,Pending
27,316,21,9,2024-09-07,Cash,30760.51,Cancelled
28,261,24,10,2025-12-31,Cash,43148.68,Completed
29,171,28,4,2024-12-30,Cash,30754.75,Cancelled
30,429,28,7,2023-01-29,Card,48331.56,Cancelled
31,105,7,7,2024-10-30,Transfer,48139.8,Completed
32,444,19,8,2023-10-23,POS,47019.29,Cancelled
33,390,6,5,2025-07-25,Online,18189.53,Completed
34,313,8,10,2024-04-06,Online,16409.9,Cancelled
35,85,21,3,2023-01-22,Cash,12401.11,Pending
36,282,6,9,2025-01-09,Card,16086.31,Pending
37,131,21,2,2025-12-18,POS,5986.19,Pending
38,402,7,4,2023-06-15,Transfer,21772.12,Completed
39,331,21,7,2023-09-23,Cash,47683.8,Completed
40,302,11,8,2024-06-05,Card,18210.87,Cancelled
41,64,2,5,2025-06-23,Online,9475.25,Completed
42,401,4,4,2024-10-08,POS,49151.23,Pending
43,379,21,7,2025-07-15,Online,8672.01,Completed
44,295,17,10,2023-12-24,Transfer,32631.39,Cancelled
45,154,27,6,2023-11-14,Cash,6780.87,Cancelled
46,255,19,7,2024-07-24,Cash,28486.21,Completed
47,281,11,2,2024-06-05,Online,3652.51,Cancelled
48,428,7,9,2025-04-19,Online,18095.47,Pending
49,480,28,6,2025-01-15,Card,38619.86,Completed
50,12,9,7,2024-12-25,Card,17151.32,Pending
51,436,16,5,2025-10-18,Transfer,13331.93,Pending
52,197,23,1,2024-03-05,Transfer,49784.4,Cancelled
53,261,4,3,2025-02-26,Card,34458.98,Pending
54,459,11,5,2025-04-02,Transfer,43037.51,Pending
55,47,28,2,2023-12-02,Online,36192.46,Pending
56,130,18,6,2023-04-18,Transfer,26799.5,Pending
57,112,18,2,2025-09-12,Online,26880.57,Pending
58,372,8,10,2023-04-23,Cash,9502.25,Pending
59,334,15,3,2024-08-08,Transfer,17245.37,Completed
60,423,10,7,2023-11-18,Transfer,21091.32,Completed
61,350,24,10,2023-12-01,Transfer,35226.41,Completed
62,470,16,2,2024-03-27,POS,688.02,Cancelled
63,417,23,6,2023-05-02,Transfer,1044.91,Pending
64,4,7,8,2025-11-11,Transfer,30872.53,Pending
65,182,27,2,2025-07-02,Card,48173.01,Cancelled
66,164,3,9,2023-07-28,POS,43239.75,Cancelled
67,195,10,7,2023-01-02,Cash,24458.75,Pending
68,305,5,3,2023-06-30,Card,42280.65,Pending
69,283,29,10,2024-01-01,Card,36791.13,Completed
