SupplierID,SupplierName,ContactEmail,PhoneNumber
1,Cadbury Supplier 1,supplier1@gmail.com,08027313479
2,Promasidor Supplier 2,supplier2@gmail.com,08067691965
3,Unilever Supplier 3,supplier3@gmail.com,08080337182
4,Promasidor Supplier 4,supplier4@gmail.com,08028783052
5,Unilever Supplier 5,supplier5@gmail.com,08090372306
6,Nestle Supplier 6,supplier6@gmail.com,08067481516
7,PZ Supplier 7,supplier7@gmail.com,08018012598
8,Peak Supplier 8,supplier8@gmail.com,08037914005
9,Unilever Supplier 9,supplier9@gmail.com,08075643286
10,Cadbury Supplier 10,supplier10@gmail.com,08051254824
11,PZ Supplier 11,supplier11@gmail.com,08022763543
12,Peak Supplier 12,supplier12@gmail.com,08076461205
13,Nestle Supplier 13,supplier13@gmail.com,08022393526
14,Unilever Supplier 14,supplier14@gmail.com,08042622235
15,Peak Supplier 15,supplier15@gmail.com,08062194346
16,Unilever Supplier 16,supplier16@gmail.com,08088270063
17,Unilever Supplier 17,supplier17@gmail.com,08023256705
18,Unilever Supplier 18,supplier18@gmail.com,08031636925
19,Nestle Supplier 19,supplier19@gmail.com,08090300098
20,Cadbury Supplier 20,supplier20@gmail.com,08074508138
21,Indomie Supplier 21,supplier21@gmail.com,08087539274
22,PZ Supplier 22,supplier22@gmail.com,08031380307
23,Nestle Supplier 23,supplier23@gmail.com,08045465048
24,Cadbury Supplier 24,supplier24@gmail.com,08082036135
25,Chi Supplier 25,supplier25@gmail.com,08018753552
26,Cadbury Supplier 26,supplier26@gmail.com,08027405677
27,PZ Supplier 27,supplier27@gmail.com,08051084220
28,Nestle Supplier 28,supplier28@gmail.com,08087508116
29,Indomie Supplier 29,supplier29@gmail.com,08067212305
30,PZ Supplier 30,supplier30@gmail.com,08047967372
31,Peak Supplier 31,supplier31@gmail.com,08035813375
32,Chi Supplier 32,supplier32@gmail.com,08011624999
33,Peak Supplier 33,supplier33@gmail.com,08083957915
34,Chi Supplier 34,supplier34@gmail.com,08083286377
35,Honeywell Supplier 35,supplier35@gmail.com,08065779302
36,Unilever Supplier 36,supplier36@gmail.com,08094720616
37,Honeywell Supplier 37,supplier37@gmail.com,08077374033
38,PZ Supplier 38,supplier38@gmail.com,08059695281
39,Chi Supplier 39,supplier39@gmail.com,08019383763
40,Promasidor Supplier 40,supplier40@gmail.com,08048389377
