Date,Year,Quaer,MonthNumber,MonthName,Week,Day,DayName
01-01-2021,2021,Q1,1,January,1,1,Friday
02-01-2021,2021,Q1,1,January,1,2,Saturday
03-01-2021,2021,Q1,1,January,1,3,Sunday
04-01-2021,2021,Q1,1,January,2,4,Monday
05-01-2021,2021,Q1,1,January,2,5,Tuesday
06-01-2021,2021,Q1,1,January,2,6,Wednesday
07-01-2021,2021,Q1,1,January,2,7,Thursday
08-01-2021,2021,Q1,1,January,2,8,Friday
09-01-2021,2021,Q1,1,January,2,9,Saturday
10-01-2021,2021,Q1,1,January,2,10,Sunday
11-01-2021,2021,Q1,1,January,3,11,Monday
12-01-2021,2021,Q1,1,January,3,12,Tuesday
13-01-2021,2021,Q1,1,January,3,13,Wednesday
14-01-2021,2021,Q1,1,January,3,14,Thursday
15-01-2021,2021,Q1,1,January,3,15,Friday
16-01-2021,2021,Q1,1,January,3,16,Saturday
17-01-2021,2021,Q1,1,January,3,17,Sunday
18-01-2021,2021,Q1,1,January,4,18,Monday
19-01-2021,2021,Q1,1,January,4,19,Tuesday
20-01-2021,2021,Q1,1,January,4,20,Wednesday
21-01-2021,2021,Q1,1,January,4,21,Thursday
22-01-2021,2021,Q1,1,January,4,22,Friday
23-01-2021,2021,Q1,1,January,4,23,Saturday
24-01-2021,2021,Q1,1,January,4,24,Sunday
25-01-2021,2021,Q1,1,January,5,25,Monday
26-01-2021,2021,Q1,1,January,5,26,Tuesday
27-01-2021,2021,Q1,1,January,5,27,Wednesday
28-01-2021,2021,Q1,1,January,5,28,Thursday
29-01-2021,2021,Q1,1,January,5,29,Friday
30-01-2021,2021,Q1,1,January,5,30,Saturday
31-01-2021,2021,Q1,1,January,5,31,Sunday
01-02-2021,2021,Q1,2,February,6,1,Monday
02-02-2021,2021,Q1,2,February,6,2,Tuesday
03-02-2021,2021,Q1,2,February,6,3,Wednesday
04-02-2021,2021,Q1,2,February,6,4,Thursday
05-02-2021,2021,Q1,2,February,6,5,Friday
06-02-2021,2021,Q1,2,February,6,6,Saturday
07-02-2021,2021,Q1,2,February,6,7,Sunday
08-02-2021,2021,Q1,2,February,7,8,Monday
09-02-2021,2021,Q1,2,February,7,9,Tuesday
10-02-2021,2021,Q1,2,February,7,10,Wednesday
11-02-2021,2021,Q1,2,February,7,11,Thursday
12-02-2021,2021,Q1,2,February,7,12,Friday
13-02-2021,2021,Q1,2,February,7,13,Saturday
14-02-2021,2021,Q1,2,February,7,14,Sunday
15-02-2021,2021,Q1,2,February,8,15,Monday
16-02-2021,2021,Q1,2,February,8,16,Tuesday
17-02-2021,2021,Q1,2,February,8,17,Wednesday
18-02-2021,2021,Q1,2,February,8,18,Thursday
19-02-2021,2021,Q1,2,February,8,19,Friday
20-02-2021,2021,Q1,2,February,8,20,Saturday
21-02-2021,2021,Q1,2,February,8,21,Sunday
22-02-2021,2021,Q1,2,February,9,22,Monday
23-02-2021,2021,Q1,2,February,9,23,Tuesday
24-02-2021,2021,Q1,2,February,9,24,Wednesday
25-02-2021,2021,Q1,2,February,9,25,Thursday
26-02-2021,2021,Q1,2,February,9,26,Friday
27-02-2021,2021,Q1,2,February,9,27,Saturday
28-02-2021,2021,Q1,2,February,9,28,Sunday
01-03-2021,2021,Q1,3,March,10,1,Monday
02-03-2021,2021,Q1,3,March,10,2,Tuesday
03-03-2021,2021,Q1,3,March,10,3,Wednesday
04-03-2021,2021,Q1,3,March,10,4,Thursday
05-03-2021,2021,Q1,3,March,10,5,Friday
06-03-2021,2021,Q1,3,March,10,6,Saturday
07-03-2021,2021,Q1,3,March,10,7,Sunday
08-03-2021,2021,Q1,3,March,11,8,Monday
09-03-2021,2021,Q1,3,March,11,9,Tuesday
10-03-2021,2021,Q1,3,March,11,10,Wednesday
11-03-2021,2021,Q1,3,March,11,11,Thursday
12-03-2021,2021,Q1,3,March,11,12,Friday
13-03-2021,2021,Q1,3,March,11,13,Saturday
14-03-2021,2021,Q1,3,March,11,14,Sunday
15-03-2021,2021,Q1,3,March,12,15,Monday
16-03-2021,2021,Q1,3,March,12,16,Tuesday
17-03-2021,2021,Q1,3,March,12,17,Wednesday
18-03-2021,2021,Q1,3,March,12,18,Thursday
19-03-2021,2021,Q1,3,March,12,19,Friday
20-03-2021,2021,Q1,3,March,12,20,Saturday
21-03-2021,2021,Q1,3,March,12,21,Sunday
22-03-2021,2021,Q1,3,March,13,22,Monday
23-03-2021,2021,Q1,3,March,13,23,Tuesday
24-03-2021,2021,Q1,3,March,13,24,Wednesday
25-03-2021,2021,Q1,3,March,13,25,Thursday
26-03-2021,2021,Q1,3,March,13,26,Friday
27-03-2021,2021,Q1,3,March,13,27,Saturday
28-03-2021,2021,Q1,3,March,13,28,Sunday
29-03-2021,2021,Q1,3,March,14,29,Monday
30-03-2021,2021,Q1,3,March,14,30,Tuesday
31-03-2021,2021,Q1,3,March,14,31,Wednesday
01-04-2021,2021,Q2,4,April,14,1,Thursday
02-04-2021,2021,Q2,4,April,14,2,Friday
03-04-2021,2021,Q2,4,April,14,3,Saturday
04-04-2021,2021,Q2,4,April,14,4,Sunday
05-04-2021,2021,Q2,4,April,15,5,Monday
06-04-2021,2021,Q2,4,April,15,6,Tuesday
07-04-2021,2021,Q2,4,April,15,7,Wednesday
08-04-2021,2021,Q2,4,April,15,8,Thursday
09-04-2021,2021,Q2,4,April,15,9,Friday
10-04-2021,2021,Q2,4,April,15,10,Saturday
11-04-2021,2021,Q2,4,April,15,11,Sunday
12-04-2021,2021,Q2,4,April,16,12,Monday
13-04-2021,2021,Q2,4,April,16,13,Tuesday
14-04-2021,2021,Q2,4,April,16,14,Wednesday
15-04-2021,2021,Q2,4,April,16,15,Thursday
